#Musica 'bang_bang new.mp3' salva no diretorio 'bang_bang new'

-0.13, -0.04; 4.3683; C
0.13, -0.04; 0.7546; B
-0.12, -0.03; 1.2307; C
0.12, -0.04; 0.7546; B
-0.12, -0.03; 1.3003; C
0.12, -0.03; 0.7546; B
-0.11, -0.02; 1.2771; C
0.13, -0.03; 0.7895; B
-0.01, -0.13; 1.2539; A
-0.01, 0.07; 0.7895; D
-0.00, -0.12; 1.2307; A
-0.01, 0.07; 0.7779; D
-0.13, -0.05; 1.2190; C
0.12, -0.04; 0.7895; B
-0.10, -0.04; 1.3584; C
0.12, -0.03; 0.7314; B
0.00, -0.12; 1.2771; A
-0.01, 0.07; 0.6966; D
0.01, -0.11; 1.2771; A
-0.01, 0.08; 0.7430; D
-0.14, -0.02; 1.3003; C
-0.14, -0.02; 0.4760; C
0.15, -0.03; 1.5441; B
0.15, -0.03; 0.4876; B
0.00, -0.10; 1.6022; A
0.00, -0.10; 0.4063; A
-0.00, 0.05; 1.6138; D
-0.00, 0.05; 0.4528; D
-0.13, -0.03; 1.5325; C
-0.13, -0.03; 0.4296; C
0.12, -0.02; 1.6138; B
0.12, -0.02; 0.4296; B
0.00, -0.13; 1.6022; A
-0.01, 0.06; 0.8359; D
-0.15, -0.02; 1.1146; C
0.13, -0.02; 2.1014; B
-0.01, 0.04; 2.0550; D
0.01, -0.14; 1.0449; A
-0.12, -0.06; 1.0565; C
0.12, -0.03; 0.9056; B
-0.12, -0.04; 1.1378; C
0.13, -0.03; 0.7198; B
-0.01, -0.11; 1.2307; A
-0.01, 0.09; 0.7314; D
0.00, -0.09; 1.3003; A
-0.01, 0.04; 0.7082; D
-0.13, -0.02; 1.3351; C
0.12, -0.02; 0.7082; B
-0.11, -0.03; 1.3932; C
0.12, -0.02; 0.6618; B
0.01, -0.10; 1.3351; A
-0.00, 0.05; 0.7779; D
-0.00, -0.10; 1.2423; A
-0.00, 0.09; 0.8243; D
-0.12, -0.03; 1.2190; C
0.10, -0.03; 0.7547; B
-0.14, -0.03; 1.2307; C
0.14, -0.04; 0.8011; B
0.01, -0.12; 1.3119; A
0.01, 0.06; 0.7663; D
0.01, -0.11; 1.2423; A
-0.00, 0.06; 0.7198; D
-0.12, -0.02; 1.2307; C
0.12, -0.00; 0.7895; B
-0.12, -0.01; 1.2887; C
0.13, -0.02; 0.7779; B
0.00, -0.08; 1.2307; A
-0.01, 0.06; 0.8011; D
-0.00, -0.10; 1.2887; A
0.00, 0.06; 0.7779; D
-0.14, -0.02; 1.2074; C
0.13, -0.02; 0.8591; B
-0.12, -0.02; 1.2074; C
0.13, -0.02; 0.7663; B
-0.00, -0.11; 1.2887; A
0.01, 0.09; 0.8011; D
0.02, -0.12; 1.1726; A
0.01, 0.06; 0.7082; D
-0.12, -0.02; 1.2887; C
-0.12, -0.02; 0.5108; C
0.08, -0.03; 0.6502; B
0.08, -0.03; 0.4644; B
-0.10, -0.02; 0.5689; C
-0.10, -0.02; 0.4412; C
0.08, -0.02; 0.5573; B
0.08, -0.02; 0.5225; B
0.03, 0.06; 0.4644; D
0.03, 0.07; 0.5108; D
